GeneID	Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000144642	15.57782,12.35786,4.72740,22.00043,16.44153,18.88898,7.59612,1.52470,1.47738,1.42425,0.66312,0.81372,1.16589,1.34405,1.28702,1.92687,1.37351,1.34835,1.76397,1.84879,12.49672,12.44312,1.07570,11.68005,10.83172,7.76683,2.53044,6.98832,1.64428,7.55096,10.12282,7.44832,2.26711,2.25431,1.17637,11.99196,3.88925,2.75515,23.42174,10.94336,0.74758,3.10813,6.97829,2.70065,3.77433,2.98424,3.83293,1.49793,3.17617,15.95477,8.46687,6.86927,0.06027
ENSG00000011376	4.86032,4.28590,8.30137,4.12762,4.08008,4.20165,6.23127,7.25597,8.64898,9.44627,6.95117,8.01636,10.05393,9.69407,6.79148,6.99372,10.65808,7.23715,4.55717,6.71597,5.18782,11.73600,12.54638,6.19697,6.65904,4.99863,6.29072,5.08169,5.74311,5.74245,6.64523,4.66428,4.59425,6.37634,4.38002,5.05504,5.01051,3.78878,6.47753,6.15793,1.90154,7.18988,6.02320,4.52307,5.38592,4.47153,4.94070,4.07866,5.92870,6.70187,7.72407,5.89943,0.59594
ENSG00000080608	17.70190,20.34257,13.82473,15.63435,15.16820,14.24701,14.89230,3.33234,3.60757,3.41447,6.87687,6.64843,4.10866,4.36500,3.68663,4.67686,3.92910,3.02201,5.15664,4.00155,20.49870,32.18431,33.41490,14.95984,19.83181,12.78544,13.02923,12.19823,23.24229,11.97566,19.57044,7.39616,4.64657,13.91875,7.33651,19.49524,17.68871,5.91567,18.40312,23.99731,7.37038,14.81956,17.50109,16.84228,15.84740,11.55438,16.47928,9.43068,24.18978,17.50591,18.44127,19.42614,1.20856
ENSG00000078328	0.10450,0.22415,0.13196,0.09681,0.14975,0.14050,0.22203,22.77740,37.49514,43.21296,74.87046,48.87234,49.14726,82.98725,24.79276,9.44703,47.14855,30.21114,4.76892,2.31140,0.11469,0.05824,0.06910,0.73969,1.58784,0.24420,0.41396,0.10781,0.09072,0.07797,0.46828,13.23778,12.84272,0.20720,0.04823,0.11737,0.59626,47.09163,0.44156,0.28435,0.04429,1.12188,1.15140,0.19399,0.19376,0.22943,0.04467,0.08480,1.79468,0.16500,0.08480,0.41787,0.04906
ENSG00000100320	30.44711,26.00144,20.94816,58.69256,41.90018,58.15222,53.77233,18.02557,30.91424,19.23649,144.24881,127.52638,36.44178,43.95640,18.44708,23.76052,24.19874,15.08808,10.06962,13.44785,32.17815,66.32525,0.27427,50.95970,57.88696,63.18998,26.11629,55.19015,29.37859,53.37969,56.22561,20.65002,16.55589,11.49463,11.89223,30.19750,23.52243,31.69308,33.43147,62.36017,7.93190,33.63769,37.58690,24.43425,25.04730,18.46630,9.10166,15.12231,39.38822,39.43621,87.86955,45.78451,0.13736
ENSG00000095485	16.15825,12.00282,8.66151,14.21670,13.23855,14.63155,14.65106,6.03504,8.05584,7.03674,27.79040,24.62306,9.95025,10.78773,6.85656,8.61846,8.76498,5.44129,8.95121,6.88172,15.61807,14.89767,23.18450,17.69287,18.67092,11.66252,9.40300,12.11984,9.36776,11.57838,19.35118,6.33353,4.87719,6.17192,5.90174,17.32050,10.12970,6.59803,20.82156,18.57228,5.67772,13.58079,14.06414,15.38702,17.48359,12.28330,22.03744,7.96745,32.97751,14.97765,18.81325,14.01543,9.74982
ENSG00000152404	9.46262,6.33522,4.22246,8.05966,7.36641,11.58136,9.69062,3.55459,2.74637,3.39168,6.47007,5.50252,2.95693,3.02858,3.54890,3.77413,3.35411,3.29182,5.73965,4.39127,8.82656,5.56044,7.68687,9.48866,10.53464,7.45265,4.29461,7.22053,4.39623,6.95971,10.28324,3.26969,2.08081,3.59769,2.02159,6.29576,5.16045,3.41986,12.24843,11.23423,2.05138,5.81951,6.28389,6.11978,6.79315,5.11052,5.89784,3.42968,6.65289,8.46012,12.28613,8.04201,1.09491
ENSG00000065548	44.15841,44.88182,38.14146,40.69893,38.27907,45.62721,40.12079,29.10404,36.97492,26.17685,58.40682,49.39052,35.74162,47.57709,32.80618,34.92674,33.13745,21.76465,30.38255,30.93572,45.88120,56.67163,69.77913,46.77868,53.78801,40.53957,33.26194,37.46290,36.10943,36.83286,42.44609,22.13422,13.72016,25.05857,20.26348,43.07979,37.61600,27.76888,52.26665,44.98468,19.89064,46.89901,43.04781,49.71980,46.99095,33.86405,30.99465,25.51109,47.41997,51.87486,51.31828,47.46643,4.73791
ENSG00000196365	37.87812,33.99762,203.05574,35.63103,32.90076,34.71922,42.75797,31.54494,37.78255,35.98158,60.82371,60.87346,43.27046,45.65867,33.14327,39.73197,37.14337,33.98622,30.24255,37.04184,36.94471,62.27176,80.55356,41.94050,36.28115,37.88529,29.74724,37.83594,28.39223,39.99132,37.38566,28.45751,37.14834,39.86349,37.73948,39.84931,29.41476,34.72622,44.01338,37.72805,16.18715,67.03349,43.06640,35.65871,38.56450,30.99586,39.21780,27.91047,47.09946,44.28868,42.65975,33.21607,5.63050
ENSG00000138231	8.21641,6.45198,7.21725,7.98978,8.31518,6.63089,9.03016,3.34402,3.35240,3.74414,9.19297,9.01000,3.76914,3.78982,3.20925,3.74977,3.94260,2.89982,4.66110,3.58200,7.89209,10.86880,10.48407,7.01476,9.15241,7.47336,6.36666,8.10806,6.65032,8.26957,11.92645,3.08336,2.84667,4.54542,2.96213,8.55112,7.14637,3.35259,9.26465,9.54577,3.49652,7.91250,7.35556,7.30368,6.96647,7.59952,10.49851,6.29342,5.53188,10.41201,10.64195,7.58160,1.06605
